year,denomination,monarch,metal,fineness,weight,mintmark,variety,grade
1911,florin,George V,silver,92.5,11.31,0,0,EF
1921,florin,George V,silver,50,11.31,0,0,VG
1895,penny,Victoria,bronze,0,0,0,low tide,F
1943,farthing,George VI,bronze,0,0,0,0,VF
1937,threepence,George VI,brass,0,0,0,0,VF
1914,florin,George V,silver,92.5,11.31,0,0,EF
1943,shilling,George VI,silver,50,5.66,0,English,GVF
1869,penny,Victoria,bronze,0,0,0,0,Fair
1864,penny,Victoria,bronze,0,0,0,0,Fair
1797,penny,George III,copper,0,0,Soho,0,F
1912,penny,George V,bronze,0,0,H,0,F
1717,halfpenny,George I,copper,0,9.13,0,0,F
1686,threepence,James II,silver,92.5,1.34,0,0,F
1951,sixpence,George VI,cupro-nickel,0,2.8,0,0,VF
1797,twopence,George III,copper,0,54.87,Soho,0,F
1738,halfpenny,George II,copper,0,0,0,0,F
1280,penny,Edward I,silver,92.5,0,0,3g,Fair
1292,penny,Edward I,silver,92.5,0,0,6b,Fair
1299,penny,Edward I,silver,92.5,0,0,9b2,Fair
1305,penny,Edward I,silver,92.5,0,0,10ab5,Fair
1955,halfcrown,Elizabeth II,cupro-nickel,0,0,0,0,VF
1902,penny,Edward VII,bronze,0,0,0,low tide,VF
1915,penny,George V,bronze,0,0,0,recessed ear,EF
1881,farthing,Victoria,bronze,0,0,H,0,F
1774,halfpenny,George III,copper,0,0,0,0,Fair
1714,farthing,Anne,copper,0,0,0,0,F
1970,penny,Elizabeth II,bronze,0,0,0,0,Proof
