alias,canonical
william i,William I
william the conqueror,William I
william ii,William II
william rufus,William II
henry i,Henry I
henry beauclerc,Henry I
stephen,Stephen
matilda,Matilda
empress matilda,Matilda
henry ii,Henry II
henry curtmantle,Henry II
henry fitzempress,Henry II
richard i,Richard I
richard the lionheart,Richard I
john,John
john lackland,John
henry iii,Henry III
edward i,Edward I
edward longshanks,Edward I
edward ii,Edward II
edward iii,Edward III
richard ii,Richard II
henry iv,Henry IV
henry bolingbroke,Henry IV
henry v,Henry V
henry of monmouth,Henry V
henry vi,Henry VI 
edward iv,Edward IV
edward v,Edward V
richard iii,Richard III
henry vii,Henry VII
henry tudor,Henry VII
henry viii,Henry VIII
old coppernose,Henry VIII
edward vi,Edward VI
mary i,Mary I
philip and mary,Philip II and Mary I
elizabeth i,Elizabeth I
james i,James I
james vi/i,James I
james vi,James I
charles i,Charles I
oliver cromwell,The Commonwealth
commonwealth,The Commonwealth
charles ii,Charles II
james ii,James II
william and mary,William III and Mary II
william iii,William III
anne,Anne
george i,George I
george of hanover,George I
george ii,George II
george iii,George III
george iv,George IV
william iv,William IV
victoria,Victoria
victorian,Victoria
edward vii,Edward VII
george v,George V
edward viii,Edward VIII
george vi,George VI
elizabeth ii,Elizabeth II
charles iii,Charles III
